A Coruña، Spain;A Coruña Airport;LCG
Harare, Zimbabwe;Robert Gabriel Mugabe International Airport;HRE
Harbin، China;Harbin Taiping International Airport;HRB
Hargeisa, Somalia;Hargeisa Airport;HGA
Harlingen، United States;Valley International Airport;HRL
Harrisburg، United States;Harrisburg International Airport;MDT
Hartford (CT)، United States;Bradley International Airport;BDL
Hat Yai، Thailand;Hat Yai International Airport;HDY
Haugesund، Norway;Haugesund Airport;HAU
Havana, Cuba;José Martí International Airport;HAV
Hefei، China;Hefei Xinqiao International Airport;HFE
Heihe، China;Heihe Aihui Airport;HEK
Helsinki، Finland;Helsinki-Vantaa Airport;HEL
Heraklion، Greece;Heraklion International Airport;HER
Herat، Afghanistan;Herat International Airport;HEA
Hermosillo، Mexico;Hermosillo International Airport;HMO
Hévíz، Hungary;Hévíz-Balaton Airport;SOB
Hilo، United States;Hilo International Airport;ITO
Hiroshima، Japan;Hiroshima Airport;HIJ
Ho Chi Minh City، Vietnam;Tan Son Nhat International Airport;SGN
Ho, Ghana;Ho Airport;HZO
Hobart، Australia;Hobart Airport;HBA
Hohhot، China;Hohhot Baita International Airport;HET
Holguín, Cuba;Frank País Airport;HOG
Honiara، Solomon Islands;Honiara International Airport;HIR
Honolulu، United States;Daniel K. Inouye International Airport;HNL
Horn Island، Australia;Horn Island Airport;HID
Houston، United States;George Bush Intercontinental Airport;IAH
Huai'an، China;Huai'an Lianshui International Airport;HIA
Hualien City، Taiwan;Hualien Airport;HUN
Huangshan City، China;Huangshan Tunxi International Airport;TXN
Huatulco، Mexico;Bahías de Huatulco International Airport;HUX
Huế، Vietnam;Phu Bai International Airport;HUI
Huesca، Spain;Huesca-Pirineos Airport;HSK
Hull، England;Humberside Airport;HUY
Hulunbuir، China;Hulunbuir Hailar Airport;HLD
Huntsville (AL)، United States;Huntsville International Airport;HSV
Hurghada, Egypt;Hurghada International Airport;HRG
Hyderabad، India;Rajiv Gandhi International Airport;HYD
Iași، Romania;Iași International Airport;IAS
Ibagué، Colombia;Perales Airport;IBE
Ibiza، Spain;Ibiza Airport;IBZ
Ilam، Iran;Ilam Airport;IIL
Iloilo City، Philippines;Iloilo International Airport;ILO
Ilulissat، Greenland;Ilulissat Airport;JAV
Imphal، India;Imphal Airport;IMF
Indianapolis، United States;Indianapolis International Airport;IND
Indore، India;Devi Ahilya Bai Holkar Airport;IDR
Inhambane, Mozambique;Inhambane Airport;INH
Innsbruck، Austria;Innsbruck Airport;INN
International Falls، United States;Falls International Airport;INL
Inverness (Scotland)، Northern Ireland, Scotland and Wales;Inverness Airport;INV
Ipiales، Colombia;San Luis Airport;IPI
Ipoh، Malaysia;Sultan Azlan Shah Airport;IPH
Irkutsk، Russia;Irkutsk Airport;IKT
Isfahan، Iran;Isfahan International Airport;IFN
Islamabad، Pakistan;Islamabad International Airport;ISB
Issyk-Kul، Kyrgyzstan;Issyk-Kul International Airport;IKU
Istanbul، Turkey;Istanbul Airport;IST
Ivano-Frankivsk، Ukraine;Ivano-Frankivsk International Airport;IFO
Ixtapa، Mexico;Ixtapa-Zihuatanejo International Airport;ZIH
İzmir، Turkey;Adnan Menderes Airport;ADB
Jackson (MS)، United States;Jackson–Medgar Wiley Evers International Airport;JAN
Jacksonville، United States;Jacksonville International Airport;JAX
Jaffna، Sri Lanka;Jaffna International Airport;JAF
Jaipur، India;Jaipur International Airport;JAI
Jakarta، Indonesia;Halim Perdanakusuma International Airport;HLP
Jammu، India;Jammu Airport;IXJ
Jayapura، Indonesia;Sentani International Airport;DJJ
Jeddah، Saudi Arabia;King Abdulaziz International Airport;JED
Jeju، South Korea;Jeju International Airport;CJU
Jerez de la Frontera، Spain;Jerez Airport;XRY
Jiamusi، China;Jiamusi Dongjiao Airport;JMU
Jieyang، China;Jieyang Chaoshan International Airport;SWA
Jijel, Algeria;Jijel Ferhat Abbas Airport;GJL
Jinan، China;Jinan Yaoqiang International Airport;TNA
Jizan، Saudi Arabia;King Abdullah bin Abdulaziz International Airport;GIZ
João Pessoa، Brazil;Presidente Castro Pinto International Airport;JPA
Johannesburg, South Africa;O. R. Tambo International Airport;JNB
Johor Bahru، Malaysia;Senai International Airport;JHB
Juba, South Sudan;Juba International Airport;JUB
Juneau، United States;Juneau International Airport;JNU
Kabul، Afghanistan;Kabul International Airport;KBL
Kagoshima، Japan;Kagoshima Airport;KOJ
Kailua-Kona، United States;Kona International Airport;KOA
Kalamata، Greece;Kalamata International Airport;KLX
Kalibo، Philippines;Kalibo International Airport;KLO
Kaliningrad، Russia;Khrabrovo Airport;KGD
Kamloops، Canada;Kamloops Airport;YKA
Kandahar، Afghanistan;Kandahar International Airport;KDH
Kangerlussuaq، Greenland;Kangerlussuaq Airport;SFJ
Kannur، India;Kannur International Airport;CNN
Kano, Nigeria;Mallam Aminu Kano International Airport;KAN
Kansas City (MO)، United States;Kansas City International Airport;MCI
Kaohsiung، Taiwan;Kaohsiung International Airport;KHH
Kapan، Armenia;Syunik Airport;YUK
Karachi، Pakistan;Jinnah International Airport;KHI
Karaganda، Kazakhstan;Karaganda Airport;KGF
Karakol، Kyrgyzstan;Karakol International Airport;IKG
Karlovy Vary، Czech Republic;Karlovy Vary Airport;KLV
Karpathos، Greece;Karpathos Island National Airport;AOK
Kasane, Botswana;Kasane Airport;BBK
Kathmandu، Nepal;Tribhuvan International Airport;KTM
Katowice، Poland;Katowice Airport;KTW
Kaunas، Lithuania;Kaunas Airport;KUN
Kavala، Greece;Kavala International Airport;KVA
Kayseri، Turkey;Erkilet Airport;ASR
Kazan، Russia;Kazan Airport;KZN
Kelowna، Canada;Kelowna International Airport;YLW
Kerman، Iran;Ayatollah Hashemi Rafsanjani Airport;KER
Kermanshah، Iran;Shahid Ashrafi Esfahani Airport;KSH
Kerry، Ireland;Kerry Airport;KIR
Ketchikan، United States;Ketchikan International Airport;KTN
Key West، United States;Key West International Airport;EYW
Khabarovsk، Russia;Khabarovsk Novy Airport;KHV
Kharkiv، Ukraine;Kharkiv International Airport;HRK
Khartoum, Sudan;Khartoum International Airport;KRT
Khujand، Tajikistan;Khujand Airport;LBD
Khulna، Bangladesh;Khan Jahan Ali Airport;KLN
Kigali, Rwanda;Kigali International Airport;KGL
Kingston, Jamaica;Norman Manley International Airport;KIN
Kingston، Canada;Kingston Norman Rogers Airport;YGK
Kingstown, Saint Vincent and the Grenadines;Argyle International Airport;SVD
Kinshasa, Democratic Republic of the Congo;N'djili Airport;FIH
Kiritimati، Kiribati;Cassidy International Airport;CXI
Kisangani, Democratic Republic of the Congo;Kisangani Bangoka International Airport;FKI
Kish Island، Iran;Kish Airport;KIH
Kismayo, Somalia;Kismayo Airport;KMU
Kissimmee، United States;Kissimmee Gateway Airport;ISM
Kisumu, Kenya;Kisumu International Airport;KIS
Kitakyushu، Japan;Kitakyushu Airport;KKJ
Kitchener، Canada;Region of Waterloo International Airport;YKF
Kittilä، Finland;Kittilä Airport;KTT
Klagenfurt، Austria;Klagenfurt Airport;KLU
Knock، Ireland;Ireland West Airport;NOC
Knoxville، United States;McGhee Tyson Airport;TYS
Ko Samui، Thailand;Samui Airport;USM
Kochi، India;Cochin International Airport;COK
Kokshetau، Kazakhstan;Kokshetau Airport;KOV
Kolkata، India;Netaji Subhas Chandra Bose International Airport;CCU
Komatsu، Japan;Komatsu Airport;KMQ
Komsomolsk-on-Amur، Russia;Komsomolsk-on-Amur Airport;KXK
Konarak، Iran;Chabahar Konarak Airport;ZBR
Konya، Turkey;Konya Airport;KYA
Koror، Palau;Roman Tmetuchl International Airport;ROR
Kos، Greece;Kos International Airport;KGS
Košice، Slovakia;Košice International Airport;KSC
Kosrae، Federated States of Micronesia;Kosrae International Airport;KSA
Kostanay، Kazakhstan;Kostanay Airport;KSN
Kota Bharu، Malaysia;Sultan Ismail Petra Airport;KBR
Kota Kinabalu، Malaysia;Kota Kinabalu International Airport;BKI
Kozhikode، India;Calicut International Airport;CCJ
Krabi، Thailand;Krabi International Airport;KBV
Kraków، Poland;Kraków John Paul II International Airport;KRK
Kralendijk, Bonaire, Caribbean Netherlands;Flamingo International Airport;BON
Kraljevo، Serbia;Morava Airport;KVO
Krasnodar، Russia;Pashkovsky Airport;KRR
Krasnoyarsk، Russia;Yemelyanovo International Airport;KJA
Kristiansand، Norway;Kristiansand Airport, Kjevik;KRS
Kristiansund، Norway;Kristiansund Airport, Kvernberget;KSU
Kryvyi Rih، Ukraine;Kryvyi Rih International Airport;KWG
Kuala Lumpur، Malaysia;Kuala Lumpur International Airport;KUL
Kuala Terengganu، Malaysia;Sultan Mahmud Airport;TGG
Kuantan، Malaysia;Sultan Haji Ahmad Shah Airport;KUA
Kuching، Malaysia;Kuching International Airport;KCH
Kukes، Albania;Kukës International Airport Zayed;KFZ
Kulob، Tajikistan;Kulob Airport;TJU
Kumasi, Ghana;Prempeh I International Airport;KMS
Kunming، China;Kunming Changshui International Airport;KMG
Kuopio، Finland;Kuopio Airport;KUO
Kursk، Russia;Kursk Vostochny Airport;URS
Kütahya، Turkey;Zafer Airport;KZR
Kutaisi، Georgia;Kutaisi International Airport;KUT
Kuusamo، Finland;Kuusamo Airport;KAO
Kuwait City، Kuwait;Kuwait International Airport;KWI
Kwajalein، Marshall Islands;Bucholz Army Airfield,KWA
Kyiv، Ukraine;Boryspil International Airport;KBP
Kyzylorda، Kazakhstan;Kyzylorda Airport;KZO
La Ceiba، Honduras;Golosón International Airport;LCE
La Palma، Spain;La Palma Airport;SPC
La Paz، Bolivia;El Alto International Airport;LPB
La Rochelle، France;La Rochelle – Île de Ré Airport;LRH
La Romana, Dominican Republic;La Romana International Airport;LRM
Laayoune, Morocco;Hassan I Airport;EUN
Labuan Bajo، Indonesia;Komodo International Airport;LBJ
Labuan، Malaysia;Labuan International Airport;LBU
Lachin، Azerbaijan;Lachin International Airport;LHL
Lagos, Nigeria;Murtala Muhammed International Airport;LOS
Laguindingan، Philippines;Laguindingan International Airport;CGY
Lahore، Pakistan;Allama Iqbal International Airport;LHE
Lakeland، United States;Lakeland Linder International Airport;LAL
Lamerd، Iran;Lamerd Airport;LFM
Lamezia، Italy;Lamezia Terme Airport;SUF
Langkawi، Malaysia;Langkawi International Airport;LGK
Lankaran، Azerbaijan;Lankaran International Airport;LLK
Lansing، United States;Capital Region International Airport;LAN
Lanzarote، Spain;Lanzarote Airport;ACE
Lanzhou، China;Lanzhou Zhongchuan International Airport;LHW
Laoag، Philippines;Laoag International Airport;LAO
Lappeenranta، Finland;Lappeenranta Airport;LPP
Lapu-Lapu City، Philippines;Mactan–Cebu International Airport;CEB
Lar، Iran;Larestan International Airport;LRR
Larnaca، Cyprus;Larnaca International Airport;LCA
Las Vegas، United States;Harry Reid International Airport;LAS
Latakia، Syria;Latakia International Airport;LTK
Leeds/Bradford، England;Leeds Bradford Airport;LBA
Leipzig، Germany;Leipzig/Halle Airport;LEJ
León، Mexico;León/Bajío International Airport;BJX
Leticia، Colombia;Alfredo Vásquez Cobo International Airport;LET
Lhasa، China;Lhasa Gonggar Airport;LXA
Lianyungang، China;Lianyungang Baitabu Airport;LYG
Liberia، Costa Rica;Daniel Oduber Quirós International Airport;LIR
Libreville, Gabon;Léon-Mba International Airport;LBV
Liège، Belgium;Liège Airport;LGG
Lijiang، China;Lijiang Sanyi International Airport;LJG
Lille، France;Lille Airport;LIL
Lilongwe, Malawi;Lilongwe International Airport;LLW
Lima، Peru;Jorge Chávez International Airport;LIM
Limoges، France;Limoges – Bellegarde Airport;LIG
Linyi، China;Linyi Qiyang Airport;LYI
Linz، Austria;Linz Airport;LNZ
Lisbon، Portugal;Lisbon Airport;LIS
Little Rock، United States;Bill and Hillary Clinton National Airport;LIT
Liverpool، England;Liverpool John Lennon Airport;LPL
Livingstone, Zambia;Harry Mwanga Nkumbula International Airport;LVI
Ljubljana، Slovenia;Ljubljana Jože Pučnik Airport;LJU
Lleida، Spain;Alguaire Airport;ILD
Łódź، Poland;Łódź Władysław Reymont Airport;LCJ
Lomé, Togo;Lomé–Tokoin International Airport;LFW
London، Canada;London International Airport;YXU
London، England;Gatwick Airport;LGW
Loreto، Mexico;Loreto International Airport;LTO
Los Angeles، United States;Los Angeles International Airport;LAX
Los Cabos، Mexico;Cabo San Lucas International Airport;CSL
Louisville، United States;Louisville International Airport;SDF
Luanda, Angola;Quatro de Fevereiro Airport;LAD
Luang Prabang، Laos;Luang Prabang International Airport;LPQ
Lubango, Angola;Lubango Airport;SDD
Lubbock، United States;Lubbock Preston Smith International Airport;LBB
Lübeck، Germany;Lübeck Airport;LBC
Lublin، Poland;Lublin Airport;LUZ
Lubumbashi, Democratic Republic of the Congo;Lubumbashi International Airport;FBM
Lucknow، India;Chaudhary Charan Singh International Airport;LKO
Lugano، Switzerland;Lugano Airport;LUG
Luganville، Vanuatu;Santo-Pekoa International Airport;SON
Luleå، Sweden;Luleå Airport;LLA
Luoyang، China;Luoyang Beijiao Airport;LYA
Lusaka, Zambia;Kenneth Kaunda International Airport;LUN
Luxembourg City، Luxembourg;Luxembourg Airport;LUX
Luxor, Egypt;Luxor International Airport;LXR
Lviv، Ukraine;Lviv Danylo Halytskyi International Airport;LWO
Lyon، France;Lyon–Saint-Exupéry Airport;LYS
Maafaru، Maldives;Maafaru International Airport;NMF
Maamigili، Maldives;Villa International Airport Maamigili;VAM
Maastricht، Netherlands;Maastricht Aachen Airport;MST
Maceió، Brazil;Zumbi dos Palmares International Airport;MCZ
Machala، Ecuador;Santa Rosa International Airport;ETR
Madison (WI)، United States;Dane County Regional Airport;MSN
Madrid، Spain;Madrid-Barajas Airport;MAD
Madurai، India;Madurai Airport;IXM
Magadan، Russia;Sokol Airport;GDX
Magnitogorsk، Russia;Magnitogorsk International Airport;MQF
Mahajanga, Madagascar;Amborovy Airport;MJN
Maicao، Colombia;Jorge Isaacs Airport;MCJ
Majuro، Marshall Islands;Marshall Islands International Airport;MAJ
Makassar، Indonesia;Sultan Hasanuddin International Airport;UPG
Makhachkala، Russia;Uytash Airport;MCX
Malabo, Equatorial Guinea;Malabo International Airport;SSG
Málaga، Spain;Málaga Airport;AGP
Malakal, South Sudan;Malakal Airport;MAK
Malatya، Turkey;Erhaç Airport;MLX
Malé، Maldives;Velana International Airport;MLE
Mali Lošinj، Croatia;Lošinj Airport;LSZ
Malmö، Sweden;Malmö Airport;MMX
Manado، Indonesia;Sam Ratulangi International Airport;MDC
Managua، Nicaragua;Augusto C. Sandino International Airport;MGA
Manama، Bahrain;Bahrain International Airport;BAH
Manaus، Brazil;Eduardo Gomes International Airport;MAO
Manchester، England;Manchester Airport;MAN
Mandalay، Myanmar;Mandalay International Airport;MDL
Mangaluru، India;Mangaluru International Airport;IXE
Mangshi، China;Dehong Mangshi Airport;LUM
Manila، Philippines;Ninoy Aquino International Airport;MNL
Manizales، Colombia;La Nubia Airport;MZL
Manta، Ecuador;Eloy Alfaro International Airport;MEC
Manzanillo، Mexico;Playa de Oro International Airport;ZLO
Manzhouli، China;Manzhouli Xijiao Airport;NZH
Manzini, Eswatini;King Mswati III International Airport;SHO
Maputo, Mozambique;Maputo International Airport;MPM
Mar del Plata، Argentina;Ástor Piazzolla International Airport;MDQ
Maracaibo، Venezuela;La Chinita International Airport;MAR
Maribor، Slovenia;Maribor Edvard Rusjan Airport;MBX
Marigot, Dominica;Douglas–Charles Airport;DOM
Marrakesh, Morocco;Marrakesh Menara Airport;RAK
Marsa Alam, Egypt;Marsa Alam International Airport;RMF
Marseille، France;Marseille Provence Airport;MRS
Marsh Harbour, The Bahamas;Marsh Harbour International Airport;MHH[1]
Mary، Turkmenistan;Mary International Airport;MYP
Maseru, Lesotho;Moshoeshoe I International Airport;MSU
Mashhad، Iran;Mashhad International Airport;MHD
Mataram، Indonesia;Lombok International Airport;LOP
Maun, Botswana;Maun Airport;MUB
Mazar-i-Sharif، Afghanistan;Mazar-i-Sharif International Airport;MZR
Mazatlán، Mexico;Mazatlán International Airport;MZT
McAllen، United States;McAllen Miller International Airport;MFE
Medan، Indonesia;Kualanamu International Airport;KNO
Medellín، Colombia;José María Córdova International Airport;MDE
Medina، Saudi Arabia;Prince Mohammad bin Abdulaziz International Airport;MED
Melbourne (FL)، United States;Melbourne Orlando International Airport;MLB
Melbourne، Australia;Melbourne Airport;MEL
Memmingen، Germany;Memmingen Airport;FMM
Memphis، United States;Memphis International Airport;MEM
Mendoza، Argentina;Governor Francisco Gabrielli International Airport;MDZ
Menorca، Spain;Menorca Airport;MAH
Mérida، Mexico;Mérida International Airport;MID
Mersa Matruh, Egypt;Mersa Matruh International Airport;MUH
Mexicali، Mexico;Mexicali International Airport;MXL
Mexico City، Mexico;Mexico City International Airport;MEX
Mfuwe, Zambia;Mfuwe Airport;MFU
Miami، United States;Miami International Airport;MIA
Middlesbrough، England;Teesside International Airport;MME
Midland/Odessa، United States;Midland International Air and Space Port;MAF
Milan، Italy;Linate Airport;LIN
Milwaukee، United States;General Mitchell International Airport;MKE
Mineralnye Vody، Russia;Mineralnye Vody Airport;MRV
Minneapolis/St. Paul، United States;Minneapolis/St. Paul International Airport;MSP
Minsk، Belarus;Minsk International Airport;MSQ
Mitú، Colombia;Fabio Alberto León Bentley Airport;MVP
Mogadishu, Somalia;Aden Adde International Airport;MGQ
Mombasa, Kenya;Moi International Airport;MBA
Monastir, Tunisia;Monastir Habib Bourguiba International Airport;MIR
Moncton (Dieppe)، Canada;Greater Moncton Roméo LeBlanc International Airport;YQM
Monrovia, Liberia;Roberts International Airport;ROB
Montego Bay, Jamaica;Sangster International Airport;MBJ
Montería، Colombia;Los Garzones Airport;MTR
Monterrey، Mexico;Monterrey International Airport;MTY
Montevideo، Uruguay;Carrasco International Airport;MVD
Montréal (Dorval)، Canada;Montréal–Trudeau International Airport;YUL
Morelia، Mexico;Morelia International Airport;MLM
Moroni, Comoros;Prince Said Ibrahim International Airport;HAH
Moscow، Russia;Domodedovo International Airport;DME
Mostar، Bosnia and Herzegovina;Mostar International Airport;OMO
Mosul، Iraq;Mosul International Airport;OSM
Mount Hagen، Papua New Guinea;Mount Hagen Airport;HGU
Mount Pleasant، Falkland Islands;RAF Mount Pleasant;MPN
Muan، South Korea;Muan International Airport;MWX
Mudanjiang، China;Mudanjiang Hailang International Airport;MDG
Mukalla، Yemen;Riyan International Airport;RIY
Mulhouse، France;EuroAirport Basel Mulhouse Freiburg;BSL/MLH/EAP
Multan، Pakistan;Multan International Airport;MUX
Mumbai، India;Chhatrapati Shivaji Maharaj International Airport;BOM
Munich، Germany;Munich Airport;MUC
Murcia، Spain;Región de Murcia International Airport;RMU
Murmansk، Russia;Murmansk Airport;MMK
Muscat، Oman;Muscat International Airport;MCT
Mwanza, Tanzania;Mwanza Airport;MWZ
Mykolaiv، Ukraine;Mykolaiv International Airport;NLV
Mykonos، Greece;Mykonos Airport;JMK
Myrtle Beach، United States;Myrtle Beach International Airport;MYR
Mytilene، Greece;Mytilene International Airport;MJT
Nadi، Fiji;Nadi International Airport;NAN
Nador, Morocco;Nador International Airport;NDR
Nagasaki، Japan;Nagasaki Airport;NGS
Nagoya، Japan;Chubu Centrair International Airport;NGO
Nagpur، India;Dr. Babasaheb Ambedkar International Airport;NAG
Naha، Japan;Naha Airport;OKA
Nairobi, Kenya;Jomo Kenyatta International Airport;NBO
Najran، Saudi Arabia;Najran Domestic Airport;EAM
Nakhchivan، Azerbaijan;Nakhchivan Airport;NAJ
Nalchik، Russia;Nalchik Airport;NAL
Namangan، Uzbekistan;Namangan Airport;NMA
Nampula, Mozambique;Nampula Airport;APL
Nanchang، China;Nanchang Changbei International Airport;KHN
Nanjing، China;Nanjing Lukou International Airport;NKG
Nanning، China;Nanning Wuxu International Airport;NNG
Nantes، France;Nantes Atlantique Airport;NTE
Nantong، China;Nantong Xingdong International Airport;NTG
Naples، Italy;Naples International Airport;NAP
Narsarsuaq، Greenland;Narsarsuaq Airport;UAK
Nashik، India;Nashik Airport;ISK
Nashville، United States;Nashville International Airport;BNA
Nasiriyah، Iraq;Nasiriyah Airport;XNH
Nassau, The Bahamas;Lynden Pindling International Airport;NAS
Natal، Brazil;Greater Natal International Airport;NAT
Navi Mumbai، India;Navi Mumbai International Airport;NMI
Navoiy، Uzbekistan;Navoiy International Airport;NVI
Nay Pyi Taw، Myanmar;Naypyidaw International Airport;NYT
N'Djamena, Chad;N'Djamena International Airport;NDJ
Ndola, Zambia;Simon Mwansa Kapwepwe International Airport;NLA
Neiva، Colombia;Benito Salas Airport;NVA
Nelspruit, South Africa;Kruger Mpumalanga International Airport;MQP
Neom، Saudi Arabia;Neom Bay Airport;NUM
Neuquén، Argentina;Presidente Perón International Airport;NQN
Nevşehir، Turkey;Kapadokya Airport;NAV
New Orleans، United States;Louis Armstrong New Orleans International Airport;MSY
New York City (Queens)، United States;John F. Kennedy International Airport;JFK
Newark، United States;Newark Liberty International Airport;EWR
Newburgh، United States;Stewart International Airport;SWF
Newcastle upon Tyne، England;Newcastle International Airport;NCL
Newcastle، Australia;Newcastle Airport[2];NTL
Newport News، United States;Newport News/Williamsburg International Airport;PHF
Newquay، England;Newquay Airport;NQY
Nha Trang، Vietnam;Cam Ranh International Airport;CXR
Niagara Falls، United States;Niagara Falls International Airport;IAG
Niamey, Niger;Diori Hamani International Airport;NIM
Nice، France;Nice Côte d'Azur Airport;NCE
Niigata، Japan;Niigata Airport;KIJ
Nîmes، France;Nîmes–Alès–Camargue–Cévennes Airport;FNI
Ningbo، China;Ningbo Lishe International Airport;NGB
Niš، Serbia;Niš Constantine the Great Airport;INI
Nizhnekamsk، Russia;Begishevo Airport;NBC
Nizhnevartovsk، Russia;Nizhnevartovsk Airport;NJC
Nizhny Novgorod، Russia;Strigino Airport;GOJ
Noida (Delhi NCR)، India;Noida International Airport;JWR
Norfolk (VA)، United States;Norfolk International Airport;ORF
Norrköping، Sweden;Norrköping Airport;NRK
North Eleuthera, The Bahamas;North Eleuthera Airport;ELH
North Goa، India;Manohar International Airport;GOX
North Nicosia، Cyprus;Ercan International Airport;ECN
Norwich، England;Norwich Airport;NWI
Nosy Be, Madagascar;Fascene Airport;NOS
Nottingham، England;East Midlands Airport;EMA
Nouadhibou, Mauritania;Nouadhibou International Airport;NDB
Nouakchott, Mauritania;Nouakchott–Oumtounsy International Airport;NKC
Nouméa، New Caledonia;La Tontouta International Airport;NOU
Novokuznetsk، Russia;Spichenkovo Airport;NOZ
Novosibirsk، Russia;Tolmachevo Airport;OVB
Nukuʻalofa، Tonga;Fuaʻamotu International Airport;TBU
Nukus، Uzbekistan;Nukus Airport;NCU
Nuremberg، Germany;Nuremberg Airport;NUE
Nuuk، Greenland;Nuuk Airport;GOH
Oakland، United States;Oakland International Airport;OAK
Oaxaca، Mexico;Oaxaca International Airport;OAX
Odesa، Ukraine;Odesa International Airport;ODS
Ohrid، North Macedonia;Ohrid St. Paul the Apostle Airport;OHD
Ōita، Japan;Oita Airport;OIT
Okayama، Japan;Okayama Airport;OKJ
Oklahoma City، United States;Will Rogers World Airport;OKC
Olbia، Italy;Costa Smeralda Airport;OLB
Ölgii، Mongolia;Ölgii International Airport;ULG
Olongapo، Philippines;Subic Bay International Airport;SFS
Olsztyn، Poland;Olsztyn-Mazury Airport;SZY
Omaha، United States;Eppley Airfield;OMA
Omsk، Russia;Omsk Tsentralny Airport;OMS
Ontario، United States;Ontario International Airport;ONT
Oradea، Romania;Oradea International Airport;OMR
Oral، Kazakhstan;Oral Ak Zhol Airport;URA
Oran, Algeria;Oran Es Senia Airport;ORN
Orange County (CA)، United States;John Wayne Airport;SNA
Oranjestad, Aruba;Queen Beatrix International Airport;AUA
Oranjestad, Sint Eustatius, Caribbean Netherlands;F. D. Roosevelt Airport;EUX
Ordos City، China;Ordos Ejin Horo International Airport;DSN
Orenburg، Russia;Orenburg Tsentralny Airport;REN
Orlando، United States;Orlando International Airport;MCO
Orsk، Russia;Orsk Airport;OSW
Osaka، Japan;Kansai International Airport;KIX
Osh، Kyrgyzstan;Osh Airport;OSS
Osijek، Croatia;Osijek Airport;OSI
Oskemen، Kazakhstan;Oskemen Airport;UKK
Oslo، Norway;Oslo Airport, Gardermoen;OSL
Ostend/Bruges، Belgium;Ostend–Bruges International Airport;OST
Östersund، Sweden;Åre Östersund Airport;OSD
Ostrava، Czech Republic;Leoš Janáček Airport;OSR
Ottawa، Canada;Ottawa Macdonald–Cartier International Airport;YOW
Ouagadougou, Burkina Faso;Thomas Sankara International Airport Ouagadougou;OUA
Ouarzazate, Morocco;Ouarzazate Airport;OZZ
Oujda, Morocco;Angads Airport;OUD
Oulu، Finland;Oulu Airport;OUL
Oumache, Algeria;Biskra Airport;BSK
Padang، Indonesia;Minangkabau International Airport;PDG
Pago Pago، American Samoa;Pago Pago International Airport;PPG
Pakse، Laos;Pakse International Airport;PKZ
Palanga، Lithuania;Palanga International Airport;PLQ
Palembang، Indonesia;Sultan Mahmud Badaruddin II International Airport;PLM
Palermo، Italy;Palermo Airport;PMO
Palm Springs، United States;Palm Springs International Airport;PSP
Palma de Mallorca، Spain;Palma de Mallorca Airport;PMI
Pamplona، Spain;Pamplona Airport;PNA
Panama City (FL)، United States;Northwest Florida Beaches International Airport;ECP
Panama City، Panama;Albrook Marcos A. Gelabert International Airport;PAC
Panglao Island، Philippines;Bohol–Panglao International Airport;TAG
Papeete، French Polynesia;Faa'a International Airport;PPT
Paphos، Cyprus;Paphos International Airport;PFO
Paramارibo، Suriname;Johan Adolf Pengel International Airport;PBM
Pardubice، Czech Republic;Pardubice Airport;PED
Paris، France;Charles de Gaulle Airport;CDG
Pärnu، Estonia;Pärnu Airport;EPU
Paro، Bhutan;Paro International Airport;PBH
Parما، Italy;Giuseppe Verdi Airport;PMF
Pasto، Colombia;Antonio Nariño Airport;PSO
Pau، France;Pau Pyrénées Airport;PUF
Pavlodar، Kazakhstan;Pavlodar Airport;PWQ
Pécs، Hungary;Pécs-Pogány International Airport;QPJ
Pekanbaru، Indonesia;Sultan Syarif Kasim II International Airport;PKU
Pemba, Mozambique;Pemba Airport;POL
Penang، Malaysia;Penang International Airport;PEN
Pensacola، United States;Pensacola International Airport;PNS
Pereira، Colombia;Matecaña International Airport;PEI
Perm، Russia;Perm International Airport;PEE
Perpignan، France;Perpignan–Rivesaltes Airport;PGF
Perth، Australia;Perth Airport;PER
Perugia، Italy;San Egidio Airport;PEG
Pescara، Italy;Abruzzo Airport;PSR
Peshawar، Pakistan;Bacha Khan International Airport;PEW
Petrolina، Brazil;Petrolina Airport;PNZ
Petropavl، Kazakhstan;Petropavl Airport;PPK
Petropavlovsk-Kamchatsky، Russia;Yelizovo Airport;PKC
Petrozavodsk، Russia;Petrozavodsk Airport;PES
Philadelphia، United States;Philadelphia International Airport;PHL
Philipsburg، Sint Maarten;Princess Juliana International Airport;SXM
Phnom Penh، Cambodia;Techo International Airport;KTI
Phnom Penh، Cambodia;Phnom Penh International Airport;PNH
Phoenix/Mesa، United States;Phoenix–Mesa Gateway Airport;AZA
Phoenix، United States;Phoenix Sky Harbor International Airport;PHX
Phú Quốc، Vietnam;Phu Quoc International Airport;PQC
Phuket، Thailand;Phuket International Airport;HKT
Piešťany، Slovakia;Piešťany Airport;PZY
Pisa، Italy;Galileo Galilei Airport;PSA
Pittsburgh، United States;Pittsburgh International Airport;PIT
Plaine Magnien, Mauritius;Sir Seewoosagur Ramgoolam International Airport;MRU
Plovdiv، Bulgaria;Plovdiv Airport;PDV
Podgorica، Montenegro;Podgorica Airport;TGD
Pohnpei، Federated States of Micronesia;Pohnpei International Airport;PNI
Pointe-à-Pitre, Guadeloupe;Pointe-à-Pitre International Airport;PTP
Pointe-Noire, Republic of the Congo;Agostinho-Neto International Airport;PNR
Poitiers، France;Poitiers–Biard Airport;PIS
Pokhara، Nepal;Pokhara Regional International Airport;PKR
